COA,Org,Funding Org Name,Plan,Grade,Post,Class,Pos Nbr,Dept ID,Position Dept Name,Salary,FTE,Months
BL,MUTH,MUSIC THEORY,AC1,FTX,FT1,PR - Professor,00005986,BL-MUS,JACOBS SCHOOL OF MUSIC,120000,1,10
BL,MATH,MATHEMATICS,AC1,FTX,FT1,PR - Professor,00005880,BL-MATH,MATHEMATICS,153078,1,10
BL,LSRT,LEARNING SUPPORT SERVICES,AC1,FLX,FL5,TL - Lecturer,00003414,BL-MATH,MATHEMATICS,65667,1,12
BL,CRIN,CURRICULUM & INSTRUCTION,AC1,FTX,FT1,PR - Professor,00005015,BL-EDUC,EDUCATION,93547,1,10
BL,REL,RELIGIOUS STUDIES,AC1,FTX,FT1,PR - Professor,00005529,BL-REL,RELIGIOUS STUDIES,94192,1,10
BL,STAT,STATISTICS,AC1,FTX,FT2,PC - Associate Professor,00032705,BL-STAT,STATISTICS,109199,1,10
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FTX,FT2,PC - Associate Professor,00013437,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,71090,1,10
BL,JSP,JEWISH STUDIES,AC1,FLX,FLS,TS - Senior Lecturer,00032500,BL-JSP,JEWISH STUDIES,60543,1,10
BL,SLIS,INFORMATION AND LIBRARY SCIENCE,AC1,FTX,FT3,PT - Assistant Professor,00000475,BL-SLIS,INFORMATION AND LIBRARY SCIENC,96820,1,10
BL,BEPP,DEPT OF ECONOMICS & PUBLIC POLICY,AC1,FLX,FLS,TS - Senior Lecturer,00041908,BL-BUS,KELLEY SCHOOL OF BUSINESS,100000,1,10
BL,GEOL,EARTH AND ATMOSPHERIC SCIENCES,AC1,RSP,,,00050749,BL-GEOL,EARTH AND ATMOSPHERIC SCIENCES,47500,1,12
BL,STNG,STRINGS,AC1,FTX,FT1,PR - Professor,00005921,BL-MUS,JACOBS SCHOOL OF MUSIC,155901,1,10
BL,MKTG,MARKETING DEPARTMENT,AC1,FLX,FL5,TL - Lecturer,00052525,BL-BUS,KELLEY SCHOOL OF BUSINESS,88000,1,10
BL,OPT,OPTOMETRY,AC1,RSS,RSS,,00024582,BL-OPT,OPTOMETRY,56485,1,12
BL,LAWS,MAURER SCHOOL OF LAW,AC1,FTX,FT2,PC - Associate Professor,00005817,BL-LAWS,MAURER SCHOOL OF LAW,153964,1,10
BL,BI,BIOLOGY,AC1,RSX,RS2,RC - Associate Scientist;Scholar,00028826,BL-BI,BIOLOGY,77437,1,12
BL,CMLT,COMPARATIVE LITERATURE,AC1,FTX,FT1,PR - Professor,00004936,BL-CMLT,COMPARATIVE LITERATURE,98260,1,10
BL,KINE,KINESIOLOGY,AC1,FLX,FL5,TL - Lecturer,00031948,BL-KINE,KINESIOLOGY,64217,1,10
BL,MEMI,EARLY MUSIC INSTITUTE,AC1,FTX,FT1,PR - Professor,00005997,BL-MUS,JACOBS SCHOOL OF MUSIC,92025,1,10
BL,LIAH,LIBRARY ARTS & HUMANITIES,AC1,LTX,LT1,LI - Librarian,00004110,BL-LIBR,LIBRARIES,87000,1,12
BL,BFIN,FINANCE DEPARTMENT,AC1,FTX,FT3,PT - Assistant Professor,00003765,BL-BUS,KELLEY SCHOOL OF BUSINESS,260075,1,10
BL,SLIS,INFORMATION AND LIBRARY SCIENCE,AC1,FTX,FT3,PT - Assistant Professor,00005566,BL-SLIS,INFORMATION AND LIBRARY SCIENC,96820,1,10
BL,MED,HEALTH SCIENCES,AC1,FTX,FT1,PR - Professor,00004550,IN-MSCI,IUSM - BLOOMINGTON,162604,1,12
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FTX,FT3,PT - Assistant Professor,00046325,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,86170,1,10
BL,IIDC,IND INST ON DISABILITY/COMMNTY,AC1,FTX,AAM,,00000039,BL-EDUC,EDUCATION,135998,1,12
BL,MPCO,COLLEGE-MATCHING THE PROMISE,AC1,FTX,FT2,PC - Associate Professor,00004428,BL-FINH,ART HISTORY,92266,1,10
BL,ELPS,LEADERSHIP & POLICY STUDIES,AC1,FTX,AAM,,00005035,BL-EDUC,EDUCATION,103400,1,10
BL,BI,BIOLOGY,AC1,RSS,RSS,,00026406,BL-BI,BIOLOGY,39848,0.75,12
BL,CIMS,CINEMA & MEDIA STUDIES,AC1,FTX,FT1,PR - Professor,00042505,BL-CIMS,CINEMA & MEDIA STUDIES,169811,1,10
BL,AMUS,ART MUSEUM,AC1,RSS,RSS,,00049736,BL-AMUS,ART MUSEUM,68290,1,12
BL,OADT,BUSINESS OPERATIONS & DECISION TECHNOLOG,AC1,FTX,FT3,PT - Assistant Professor,00052653,BL-BUS,KELLEY SCHOOL OF BUSINESS,181275,1,10
BL,COMS,COMMUNICATION SCIENCE,AC1,FTX,AAM,,00042532,BL-COMS,COMMUNICATION SCIENCE,109581,1,10
BL,LISP,LIBRARY SPECIAL COLLECTIONS,AC1,LTX,LT2,LC - Associate Librarian,00004385,BL-LIBR,LIBRARIES,77050,1,12
BL,MKTG,MARKETING DEPARTMENT,AC1,FTX,FT3,PT - Assistant Professor,00050630,BL-BUS,KELLEY SCHOOL OF BUSINESS,201200,1,10
BL,BFIN,FINANCE DEPARTMENT,AC1,FCX,FC1,PR - Professor,00032524,BL-BUS,KELLEY SCHOOL OF BUSINESS,192800,1,10
BL,GEOY,INDIANA GEOLOGICAL & WATER SURVEY,AC1,RSX,RS1,RS - Senior Scientist;Scholar,00003542,BL-GEOY,INDIANA GEOLOGICAL & WATER SUR,106680,1,10
BL,SGIS,HAMILTON LUGAR SCHOOL,AC1,FVX,,,00053463,BL-SGIS,HAMILTON LUGAR SCHOOL,48000,1,12
BL,CHEM,CHEMISTRY,AC1,FLX,FL5,TL - Lecturer,00052095,BL-CHEM,CHEMISTRY,62525,1,10
BL,ENG,ENGLISH,AC1,FTX,FT1,PR - Professor,00005055,BL-ENG,ENGLISH,148235,1,10
BL,CFLT,CTR FOR LEARNING & TECHNOLOGY,AC1,RSP,RSP,,00023822,BL-EDUC,EDUCATION,62730,1,12
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FTX,FT2,PC - Associate Professor,00005088,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,77949,1,10
BL,MGMT,DEPT MANGEMENT & ENTREP,AC1,FTX,FT2,PC - Associate Professor,00004836,BL-BUS,KELLEY SCHOOL OF BUSINESS,200750,1,10
BL,ACTG,ACCOUNTING DEPARTMENT,AC1,FVX,FV3,PT - Assistant Professor,00054855,BL-BUS,KELLEY SCHOOL OF BUSINESS,207000,1,10
BL,MED,HEALTH SCIENCES,AC1,FLX,AAM,,00051457,IN-MSCI,IUSM - BLOOMINGTON,72441,1,12
BL,SPAN,SPANISH & PORTUGUESE,AC1,FTX,AAM,,00005593,BL-SPAN,SPANISH & PORTUGUESE,101995,1,10
BL,EALC,EAST ASIAN LANGS & CULTURES,AC1,FLX,FLS,TS - Senior Lecturer,00020827,BL-EALC,EAST ASIAN LANGS & CULTURES,62628,1,10
BL,MKTG,MARKETING DEPARTMENT,AC1,FTX,FG3,PT - Assistant Professor,00054104,BL-BUS,KELLEY SCHOOL OF BUSINESS,180000,1,10
BL,ECON,ECONOMICS,AC1,FTX,FT1,PR - Professor,00043254,BL-ECON,ECONOMICS,232719,1,10
BL,MEMI,EARLY MUSIC INSTITUTE,AC1,FVX,FV2,PC - Associate Professor,00024783,BL-MUS,JACOBS SCHOOL OF MUSIC,75092,1,10
BL,LAWL,LAW LIBRARY,AC1,LTX,LT2,LC - Associate Librarian,00041398,BL-LAWL,LAW LIBRARY,71689,1,12
BL,LAWS,MAURER SCHOOL OF LAW,AC1,FTX,FT1,PR - Professor,00005846,BL-LAWS,MAURER SCHOOL OF LAW,173516,1,10
BL,NURS,NURSING,AC1,FCX,FC3,PT - Assistant Professor,00011106,BL-NURS,NURSING,77826,1,10
BL,SPAN,SPANISH & PORTUGUESE,AC1,FVX,,,00050810,BL-SPAN,SPANISH & PORTUGUESE,41000,1,10
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FLX,AAM,,00043926,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,57400,1,10
BL,BI,BIOLOGY,AC1,RSX,RS2,RC - Associate Scientist;Scholar,00028827,BL-BI,BIOLOGY,63952,1,12
BL,GEOG,GEOGRAPHY,AC1,FTX,AAL,,00005137,BL-GEOG,GEOGRAPHY,99591,1,10
